date,temp,skt,dir,vel,hr,prec,pres,temp_jci,skt_jci,dir_jci,vel_jci,hr_jci,prec_jci,pres_jci
2005-01-14 12:00:00+00:00,1.9,2.0,91.0,5.0,59.0,0.0,978.8,1,1,1,1,1,1,1
2005-01-14 15:00:00+00:00,1.5,1.2,101.0,4.4,65.0,0.0,979.2,1,1,1,1,1,1,1
2005-01-14 18:00:00+00:00,3.0,3.2,146.0,3.3,54.0,0.0,980.3,1,1,1,1,1,1,1
2005-01-14 21:00:00+00:00,2.0,2.9,307.0,3.9,73.0,0.0,983.1,1,1,1,1,1,1,1
2005-01-15 00:00:00+00:00,1.5,1.4,35.0,1.7000000000000002,71.0,0.0,985.2,1,1,1,1,1,1,1
2005-01-15 03:00:00+00:00,0.2,,166.0,1.7000000000000002,76.0,0.0,986.0,1,1,1,1,1,1,1
2005-01-15 06:00:00+00:00,-0.4,,152.0,1.1,83.0,0.0,986.5,1,1,1,1,1,1,1
2005-01-15 09:00:00+00:00,-0.6000000000000001,,167.0,2.1,82.0,0.0,986.5,1,1,1,1,1,1,1
2005-01-15 12:00:00+00:00,1.9,3.2,344.0,1.0,73.0,0.0,986.2,1,1,1,1,1,1,1
2005-01-15 15:00:00+00:00,3.5,5.9,350.0,1.6,68.0,0.0,985.3,1,1,1,1,1,1,1
2005-01-15 18:00:00+00:00,3.5,7.2,261.0,3.0,67.0,0.0,984.0,1,1,1,1,1,1,1
2005-01-15 21:00:00+00:00,3.6,6.1,269.0,1.9,64.0,0.0,982.6,1,1,1,1,1,1,1
2005-01-16 00:00:00+00:00,1.5,2.7,294.0,2.1,75.0,0.0,981.8,1,1,1,1,1,1,1
2005-01-16 03:00:00+00:00,0.3,0.2,27.0,3.2,75.0,0.0,981.6,1,1,1,1,1,1,1
2005-01-16 06:00:00+00:00,0.3,0.0,42.0,3.0,66.0,0.0,980.6,1,1,1,1,1,1,1
2005-01-16 09:00:00+00:00,0.0,,158.0,2.0,70.0,0.0,980.9,1,1,1,1,1,1,1
2005-01-16 12:00:00+00:00,1.5,2.4,262.0,2.5,60.0,0.0,981.1,1,1,1,1,1,1,1
2005-01-16 15:00:00+00:00,3.1,5.8,297.0,2.2,64.0,0.0,981.3,1,1,1,1,1,1,1
2005-01-16 18:00:00+00:00,3.6,5.3,28.0,1.3,55.0,0.0,981.8,1,1,1,1,1,1,1
2005-01-16 21:00:00+00:00,3.0,6.2,265.0,3.6,63.0,0.0,982.4,1,1,1,1,1,1,1
2005-01-17 00:00:00+00:00,1.7000000000000002,2.3,259.0,1.9,74.0,0.0,983.0,1,1,1,1,1,1,1
2005-01-17 03:00:00+00:00,1.7000000000000002,1.4,104.0,1.5,76.0,0.0,983.7,1,1,1,1,1,1,1
2005-01-17 06:00:00+00:00,1.3,0.9,165.0,1.1,77.0,0.0,984.9,1,1,1,1,1,1,1
2005-01-17 09:00:00+00:00,1.5,0.9,106.0,1.8,74.0,0.0,986.4,1,1,1,1,1,1,1
